"","Zip","City","State","Latitude","Longitude","Timezone","Daylight.savings.time.flag","geopoint"
"56",81624,"Collbran","CO",39.220166,-107.93414,-7,1,"39.220166,-107.93414"
"57",82718,"Gillette","WY",43.939968,-105.52445,-7,1,"43.939968,-105.52445"
"58",89317,"Lund","NV",38.835421,-115.02628,-8,1,"38.835421,-115.02628"
"59",92232,"Calexico","CA",33.026203,-115.284581,-8,1,"33.026203,-115.284581"
"60",93227,"Goshen","CA",36.357151,-119.425371,-8,1,"36.357151,-119.425371"
"61",93234,"Huron","CA",36.209815,-120.0847,-8,1,"36.209815,-120.0847"
"62",93529,"June Lake","CA",37.765218,-119.07769,-8,1,"37.765218,-119.07769"
"63",93761,"Fresno","CA",36.746375,-119.639658,-8,1,"36.746375,-119.639658"
"64",94931,"Cotati","CA",38.328614,-122.71044,-8,1,"38.328614,-122.71044"
"65",95322,"Gustine","CA",37.187494,-121.03232,-8,1,"37.187494,-121.03232"
"66",30334,"Atlanta","GA",33.702657,-84.439127,-5,1,"33.702657,-84.439127"
"67",36879,"Waverly","AL",32.733511,-85.55322,-6,1,"32.733511,-85.55322"
"68",38017,"Collierville","TN",35.057224,-89.67417,-6,1,"35.057224,-89.67417"
"69",43984,"New Rumley","OH",40.29649,-81.102502,-5,1,"40.29649,-81.102502"
"70",46787,"South Whitley","IN",41.080236,-85.62796,-5,0,"41.080236,-85.62796"
"71",31606,"Valdosta","GA",30.802411,-83.19624,-5,1,"30.802411,-83.19624"
"72",55992,"Zumbrota","MN",44.297157,-92.68312,-6,1,"44.297157,-92.68312"
"73",13827,"Owego","NY",42.120274,-76.25874,-5,1,"42.120274,-76.25874"
"74",14739,"Friendship","NY",42.192384,-78.14308,-5,1,"42.192384,-78.14308"
"75",15227,"Pittsburgh","PA",40.377869,-79.97516,-5,1,"40.377869,-79.97516"
"76",16877,"Warriors Mark","PA",40.721787,-78.08561,-5,1,"40.721787,-78.08561"
"77",31732,"Cedar Springs","GA",31.169794,-85.0557,-5,1,"31.169794,-85.0557"
"78",32621,"Bronson","FL",29.447069,-82.60452,-5,1,"29.447069,-82.60452"
"79",21634,"Fishing Creek","MD",38.288409,-76.20146,-5,1,"38.288409,-76.20146"
"80",24008,"Roanoke","VA",37.274175,-79.95786,-5,1,"37.274175,-79.95786"
"81",25645,"Stirrat","WV",37.833204,-81.902401,-5,1,"37.833204,-81.902401"
"82",34447,"Homosassa Springs","FL",28.804911,-82.574264,-5,1,"28.804911,-82.574264"
"83",35004,"Moody","AL",33.606379,-86.50249,-6,1,"33.606379,-86.50249"
"84",27834,"Greenville","NC",35.626653,-77.37896,-5,1,"35.626653,-77.37896"
"85",28373,"Pinebluff","NC",35.100144,-79.47979,-5,1,"35.100144,-79.47979"
"86",11703,"North Babylon","NY",40.733398,-73.32257,-5,1,"40.733398,-73.32257"
"87",2909,"Providence","RI",41.8191,-71.44775,-5,1,"41.8191,-71.44775"
"88",4617,"Brooksville","ME",44.363587,-68.74399,-5,1,"44.363587,-68.74399"
"89",7961,"Morristown","NJ",40.77975,-74.442797,-5,1,"40.77975,-74.442797"
"90",767,"Yabucoa","PR",18.072752,-65.89703,-4,0,"18.072752,-65.89703"
"91",803,"St Thomas","VI",18.322285,-64.963715,-4,0,"18.322285,-64.963715"
"92",43681,"Toledo","OH",41.686778,-83.43943,-5,1,"41.686778,-83.43943"
"93",36744,"Greensboro","AL",32.703529,-87.60177,-6,1,"32.703529,-87.60177"
"94",37616,"Afton","TN",36.218863,-82.74704,-5,1,"36.218863,-82.74704"
"95",38602,"Arkabutla","MS",34.686272,-90.106756,-6,1,"34.686272,-90.106756"
"96",50519,"Bode","IA",42.884723,-94.27644,-6,1,"42.884723,-94.27644"
"97",40081,"Crestwood","KY",38.3386,-85.492459,-5,1,"38.3386,-85.492459"
"98",30444,"East Point","GA",33.696073,-84.450276,-5,1,"33.696073,-84.450276"
"99",90038,"Los Angeles","CA",34.089459,-118.3285,-8,1,"34.089459,-118.3285"
"100",90063,"Los Angeles","CA",34.045161,-118.1865,-8,1,"34.045161,-118.1865"
"101",92709,"Irvine","CA",33.640302,-117.769442,-8,1,"33.640302,-117.769442"
"102",93492,"Morro Bay","CA",35.372861,-120.859391,-8,1,"35.372861,-120.859391"
"103",94175,"San Francisco","CA",37.784827,-122.727802,-8,1,"37.784827,-122.727802"
"104",84530,"La Sal","UT",38.236886,-109.15445,-7,1,"38.236886,-109.15445"
"105",95592,"Vallejo","CA",38.098737,-122.271251,-8,1,"38.098737,-122.271251"
"106",38138,"Germantown","TN",35.088885,-89.80677,-6,1,"35.088885,-89.80677"
"107",40298,"Louisville","KY",38.188962,-85.676819,-5,1,"38.188962,-85.676819"
"108",56517,"Beltrami","MN",47.55171,-96.53492,-6,1,"47.55171,-96.53492"
"109",57841,"Carlisle","SD",45.632378,-98.704197,-6,1,"45.632378,-98.704197"
"110",58323,"Calvin","ND",48.849591,-98.90525,-6,1,"48.849591,-98.90525"
"111",58533,"Elgin","ND",46.408171,-101.82853,-7,1,"46.408171,-101.82853"
"112",58771,"Plaza","ND",48.073998,-101.9763,-6,1,"48.073998,-101.9763"
"113",58793,"Westhope","ND",48.871815,-101.04936,-6,1,"48.871815,-101.04936"
"114",53171,"Somers","WI",42.642298,-87.903161,-6,1,"42.642298,-87.903161"
"115",53189,"Waukesha","WI",42.967394,-88.264,-6,1,"42.967394,-88.264"
"116",56091,"Waldorf","MN",43.930363,-93.69492,-6,1,"43.930363,-93.69492"
"117",43733,"Derwent","OH",39.923616,-81.542965,-5,1,"39.923616,-81.542965"
"118",47613,"Elberfeld","IN",38.170645,-87.42886,-6,1,"38.170645,-87.42886"
"119",51049,"Quimby","IA",42.626822,-95.61438,-6,1,"42.626822,-95.61438"
"120",51651,"Shambaugh","IA",40.65747,-95.024969,-6,1,"40.65747,-95.024969"
"121",53014,"Chilton","WI",44.033215,-88.17626,-6,1,"44.033215,-88.17626"
"122",43334,"Marengo","OH",40.399648,-82.80783,-5,1,"40.399648,-82.80783"
"123",62206,"East Saint Louis","IL",38.564451,-90.1628,-6,1,"38.564451,-90.1628"
"124",64155,"Kansas City","MO",39.276828,-94.57344,-6,1,"39.276828,-94.57344"
"125",48215,"Detroit","MI",42.378287,-82.95243,-5,1,"42.378287,-82.95243"
"126",30531,"Cornelia","GA",34.514215,-83.54118,-5,1,"34.514215,-83.54118"
"127",20521,"Washington","DC",38.893311,-77.014647,-5,1,"38.893311,-77.014647"
"128",20557,"Washington","DC",38.887405,-77.004663,-5,1,"38.887405,-77.004663"
"129",23176,"Wake","VA",37.571789,-76.41631,-5,1,"37.571789,-76.41631"
"130",16830,"Clearfield","PA",41.026239,-78.43838,-5,1,"41.026239,-78.43838"
"131",16876,"Wallaceton","PA",40.960106,-78.28886,-5,1,"40.960106,-78.28886"
"132",11707,"West Babylon","NY",40.922326,-72.637078,-5,1,"40.922326,-72.637078"
"133",12442,"Hunter","NY",42.222061,-74.23418,-5,1,"42.222061,-74.23418"
"134",13334,"Eaton","NY",42.83917,-75.65482,-5,1,"42.83917,-75.65482"
"135",13626,"Copenhagen","NY",43.859025,-75.72942,-5,1,"43.859025,-75.72942"
"136",24620,"Hurley","VA",37.409883,-82.02317,-5,1,"37.409883,-82.02317"
"137",25521,"Griffithsville","WV",38.238045,-81.98991,-5,1,"38.238045,-81.98991"
"138",34489,"Silver Springs","FL",29.215153,-82.097163,-5,1,"29.215153,-82.097163"
"139",17866,"Coal Township","PA",40.791328,-76.56393,-5,1,"40.791328,-76.56393"
"140",17882,"Troxelville","PA",40.801614,-77.20537,-5,1,"40.801614,-77.20537"
"141",18466,"Tobyhanna","PA",41.19012,-75.36779,-5,1,"41.19012,-75.36779"
"142",19173,"Philadelphia","PA",40.001811,-75.11787,-5,1,"40.001811,-75.11787"
"143",28039,"East Spencer","NC",35.677889,-80.44593,-5,1,"35.677889,-80.44593"
"144",28206,"Charlotte","NC",35.248292,-80.82748,-5,1,"35.248292,-80.82748"
"145",28282,"Charlotte","NC",35.224242,-80.844743,-5,1,"35.224242,-80.844743"
"146",96778,"Pahoa","HI",19.494625,-154.9266,-10,0,"19.494625,-154.9266"
"147",97298,"Portland","OR",45.548616,-123.114725,-8,1,"45.548616,-123.114725"
"148",97538,"Selma","OR",42.259678,-123.54778,-8,1,"42.259678,-123.54778"
"149",98520,"Aberdeen","WA",46.972965,-123.81923,-8,1,"46.972965,-123.81923"
"150",98579,"Rochester","WA",46.814438,-123.08647,-8,1,"46.814438,-123.08647"
"151",93701,"Fresno","CA",36.749444,-119.78872,-8,1,"36.749444,-119.78872"
"152",94295,"Sacramento","CA",38.377411,-121.444429,-8,1,"38.377411,-121.444429"
"153",16601,"Altoona","PA",40.526319,-78.40082,-5,1,"40.526319,-78.40082"
"154",17301,"Abbottstown","PA",39.891548,-76.98359,-5,1,"39.891548,-76.98359"
"155",19420,"Arcola","PA",40.152871,-75.456719,-5,1,"40.152871,-75.456719"
"156",32503,"Pensacola","FL",30.447997,-87.20727,-6,1,"30.447997,-87.20727"
"157",36268,"Munford","AL",33.51179,-85.94756,-6,1,"33.51179,-85.94756"
"158",24292,"Whitetop","VA",36.59565,-81.59154,-5,1,"36.59565,-81.59154"
"159",26267,"Ellamore","WV",38.912609,-80.07907,-5,1,"38.912609,-80.07907"
"160",27341,"Seagrove","NC",35.53332,-79.71018,-5,1,"35.53332,-79.71018"
"161",8887,"Three Bridges","NJ",40.525361,-74.79632,-5,1,"40.525361,-74.79632"
"162",71284,"Tallulah","LA",32.341594,-91.216458,-6,1,"32.341594,-91.216458"
"163",71423,"Dry Prong","LA",31.563093,-92.54954,-6,1,"31.563093,-92.54954"
"164",71443,"Kurthwood","LA",31.1019,-93.361238,-6,1,"31.1019,-93.361238"
"165",48226,"Detroit","MI",42.331821,-83.04888,-5,1,"42.331821,-83.04888"
"166",48503,"Flint","MI",43.011227,-83.69291,-5,1,"43.011227,-83.69291"
"167",49756,"Lewiston","MI",44.839929,-84.30787,-5,1,"44.839929,-84.30787"
"168",50675,"Traer","IA",42.193577,-92.4828,-6,1,"42.193577,-92.4828"
"169",78650,"McDade","TX",30.283941,-97.23563,-6,1,"30.283941,-97.23563"
"170",80402,"Golden","CO",39.522014,-105.223945,-7,1,"39.522014,-105.223945"
"171",83121,"Frontier","WY",41.814385,-110.53743,-7,1,"41.814385,-110.53743"
"172",92693,"San Juan Capistrano","CA",33.555323,-117.564,-8,1,"33.555323,-117.564"
"173",93140,"Santa Barbara","CA",34.262834,-119.848555,-8,1,"34.262834,-119.848555"
"174",93255,"Onyx","CA",35.666835,-118.01701,-8,1,"35.666835,-118.01701"
"175",75010,"Carrollton","TX",33.030556,-96.89328,-6,1,"33.030556,-96.89328"
"176",76054,"Hurst","TX",32.858398,-97.17681,-6,1,"32.858398,-97.17681"
"177",68743,"Jackson","NE",42.460155,-96.60668,-6,1,"42.460155,-96.60668"
"178",85268,"Fountain Hills","AZ",33.604811,-111.72852,-7,0,"33.604811,-111.72852"
"179",45841,"Jenera","OH",40.881217,-83.73199,-5,1,"40.881217,-83.73199"
"180",65047,"Kaiser","MO",38.14008,-92.58331,-6,1,"38.14008,-92.58331"
"181",67102,"Maple City","KS",37.043519,-96.75924,-6,1,"37.043519,-96.75924"
"182",67954,"Rolla","KS",37.163412,-101.61909,-6,1,"37.163412,-101.61909"
"183",68792,"Wynot","NE",42.749481,-97.14372,-6,1,"42.749481,-97.14372"
"184",75961,"Nacogdoches","TX",31.626011,-94.60338,-6,1,"31.626011,-94.60338"
"185",76452,"Energy","TX",31.758351,-98.40613,-6,1,"31.758351,-98.40613"
"186",76855,"Lowake","TX",31.333614,-99.85837,-6,1,"31.333614,-99.85837"
"187",80235,"Denver","CO",39.648328,-105.08431,-7,1,"39.648328,-105.08431"
"188",80620,"Evans","CO",40.378019,-104.70357,-7,1,"40.378019,-104.70357"
"189",81001,"Pueblo","CO",38.282872,-104.57029,-7,1,"38.282872,-104.57029"
"190",83401,"Idaho Falls","ID",43.528891,-111.98136,-7,1,"43.528891,-111.98136"
"191",85292,"Winkelman","AZ",32.945838,-110.72198,-7,0,"32.945838,-110.72198"
"192",57481,"Westport","SD",45.663385,-98.62274,-6,1,"45.663385,-98.62274"
"193",58723,"Butte","ND",47.785232,-100.69257,-6,1,"47.785232,-100.69257"
"194",78349,"Concepcion","TX",27.316167,-98.29797,-6,1,"27.316167,-98.29797"
"195",79381,"Wilson","TX",33.327782,-101.76906,-6,1,"33.327782,-101.76906"
"196",63626,"Blackwell","MO",38.053566,-90.64229,-6,1,"38.053566,-90.64229"
"197",23290,"Richmond","VA",37.524246,-77.493157,-5,1,"37.524246,-77.493157"
"198",23486,"Willis Wharf","VA",37.518917,-75.810482,-5,1,"37.518917,-75.810482"
"199",24069,"Cascade","VA",36.586545,-79.64194,-5,1,"36.586545,-79.64194"
"200",15773,"Saint Benedict","PA",40.628368,-78.73335,-5,1,"40.628368,-78.73335"
"201",16665,"Newry","PA",40.393223,-78.43508,-5,1,"40.393223,-78.43508"
"202",16927,"Harrison Valley","PA",41.958059,-77.67187,-5,1,"41.958059,-77.67187"
"203",30746,"Sugar Valley","GA",34.574804,-85.02482,-5,1,"34.574804,-85.02482"
"204",32830,"Orlando","FL",28.385549,-81.505894,-5,1,"28.385549,-81.505894"
"205",33756,"Clearwater","FL",27.944631,-82.78702,-5,1,"27.944631,-82.78702"
"206",20868,"Spencerville","MD",39.127028,-76.96372,-5,1,"39.127028,-76.96372"
"207",21849,"Parsonsburg","MD",38.363057,-75.45574,-5,1,"38.363057,-75.45574"
"208",22218,"Arlington","VA",38.880811,-77.11295,-5,1,"38.880811,-77.11295"
"209",17570,"Rheems","PA",40.129494,-76.56991,-5,1,"40.129494,-76.56991"
"210",17942,"Landingville","PA",40.722587,-76.229623,-5,1,"40.722587,-76.229623"
"211",18456,"Prompton","PA",41.606185,-75.33971,-5,1,"41.606185,-75.33971"
"212",18834,"New Milford","PA",41.853082,-75.72077,-5,1,"41.853082,-75.72077"
"213",18921,"Ferndale","PA",40.328645,-75.10278,-5,1,"40.328645,-75.10278"
"214",19134,"Philadelphia","PA",39.991712,-75.11116,-5,1,"39.991712,-75.11116"
"215",29164,"Wagener","SC",33.659078,-81.40845,-5,1,"33.659078,-81.40845"
"216",54020,"Osceola","WI",45.299735,-92.64222,-6,1,"45.299735,-92.64222"
"217",55125,"Saint Paul","MN",44.921982,-92.94234,-6,1,"44.921982,-92.94234"
"218",56039,"Granada","MN",43.680519,-94.33773,-6,1,"43.680519,-94.33773"
"219",39072,"Pocahontas","MS",32.311287,-90.397157,-6,1,"32.311287,-90.397157"
"220",39154,"Raymond","MS",32.230592,-90.45709,-6,1,"32.230592,-90.45709"
"221",8817,"Edison","NJ",40.516104,-74.39754,-5,1,"40.516104,-74.39754"
"222",10965,"Pearl River","NY",41.063329,-74.01734,-5,1,"41.063329,-74.01734"
"223",12151,"Round Lake","NY",42.932326,-73.79363,-5,1,"42.932326,-73.79363"
"224",12195,"West Lebanon","NY",42.479384,-73.474809,-5,1,"42.479384,-73.474809"
"225",18216,"Beaver Meadows","PA",40.931187,-75.91493,-5,1,"40.931187,-75.91493"
"226",2169,"Quincy","MA",42.250739,-70.99593,-5,1,"42.250739,-70.99593"
"227",2375,"South Easton","MA",42.029749,-71.10191,-5,1,"42.029749,-71.10191"
"228",2639,"Dennis Port","MA",41.661115,-70.13348,-5,1,"41.661115,-70.13348"
"229",77590,"Texas City","TX",29.395283,-94.91759,-6,1,"29.395283,-94.91759"
"230",78013,"Comfort","TX",29.972473,-98.91084,-6,1,"29.972473,-98.91084"
"231",68832,"Doniphan","NE",40.763643,-98.38794,-6,1,"40.763643,-98.38794"
"232",42046,"Hamlin","KY",36.6033,-88.092285,-6,1,"36.6033,-88.092285"
"233",43652,"Toledo","OH",41.686778,-83.43943,-5,1,"41.686778,-83.43943"
"234",62611,"Arenzville","IL",39.883346,-90.39332,-6,1,"39.883346,-90.39332"
"235",70005,"Metairie","LA",29.999453,-90.13398,-6,1,"29.999453,-90.13398"
"236",71048,"Lisbon","LA",32.830135,-92.85568,-6,1,"32.830135,-92.85568"
"237",26865,"Yellow Spring","WV",39.199856,-78.49655,-5,1,"39.199856,-78.49655"
"238",28007,"Ansonville","NC",35.104652,-80.10965,-5,1,"35.104652,-80.10965"
"239",54964,"Pickett","WI",43.923141,-88.72654,-6,1,"43.923141,-88.72654"
"240",56011,"Belle Plaine","MN",44.616113,-93.76906,-6,1,"44.616113,-93.76906"
"241",19318,"Chatham","PA",39.852406,-75.811789,-5,1,"39.852406,-75.811789"
"242",21241,"Baltimore","MD",39.284707,-76.620489,-5,1,"39.284707,-76.620489"
"243",50167,"Minburn","IA",41.750745,-94.04659,-6,1,"41.750745,-94.04659"
"244",80202,"Denver","CO",39.751586,-104.99699,-7,1,"39.751586,-104.99699"
"245",84305,"Clarkston","UT",41.938629,-112.0433,-7,1,"41.938629,-112.0433"
"246",85382,"Peoria","AZ",33.689869,-112.24838,-7,0,"33.689869,-112.24838"
"247",93465,"Templeton","CA",35.54464,-120.72428,-8,1,"35.54464,-120.72428"
"248",94160,"San Francisco","CA",37.784827,-122.727802,-8,1,"37.784827,-122.727802"
"249",94164,"San Francisco","CA",37.784827,-122.727802,-8,1,"37.784827,-122.727802"
"250",95383,"Twain Harte","CA",38.055888,-120.23002,-8,1,"38.055888,-120.23002"
"251",95665,"Pine Grove","CA",38.40097,-120.64952,-8,1,"38.40097,-120.64952"
"252",79917,"El Paso","TX",31.694842,-106.299987,-7,1,"31.694842,-106.299987"
"253",90301,"Inglewood","CA",33.955913,-118.35868,-8,1,"33.955913,-118.35868"
"254",60974,"Woodland","IL",40.710295,-87.73137,-6,1,"40.710295,-87.73137"
"255",62001,"Alhambra","IL",38.884434,-89.74886,-6,1,"38.884434,-89.74886"
"256",92543,"Hemet","CA",33.73542,-116.97401,-8,1,"33.73542,-116.97401"
"257",92837,"Fullerton","CA",33.640302,-117.769442,-8,1,"33.640302,-117.769442"
"258",14617,"Rochester","NY",43.223213,-77.59721,-5,1,"43.223213,-77.59721"
"259",15238,"Pittsburgh","PA",40.518701,-79.86744,-5,1,"40.518701,-79.86744"
"260",21767,"Maugansville","MD",39.697894,-77.74514,-5,1,"39.697894,-77.74514"
"261",2886,"Warwick","RI",41.705478,-71.45119,-5,1,"41.705478,-71.45119"
"262",3648,"Enfield","NH",43.630276,-72.135352,-5,1,"43.630276,-72.135352"
"263",4981,"Stockton Springs","ME",44.499082,-68.85667,-5,1,"44.499082,-68.85667"
"264",5061,"Randolph Center","VT",43.928369,-72.5731,-5,1,"43.928369,-72.5731"
"265",5648,"Calais","VT",44.375726,-72.49509,-5,1,"44.375726,-72.49509"
"266",19488,"Norristown","PA",39.983153,-75.748055,-5,1,"39.983153,-75.748055"
"267",19524,"Robeson","PA",40.248684,-75.858731,-5,1,"40.248684,-75.858731"
"268",982,"Carolina","PR",18.409345,-65.99313,-4,0,"18.409345,-65.99313"
"269",37407,"Chattanooga","TN",35.000825,-85.28673,-5,1,"35.000825,-85.28673"
"270",38704,"Greenville","MS",33.253401,-90.918503,-6,1,"33.253401,-90.918503"
"271",38912,"Avalon","MS",33.65497,-90.053958,-6,1,"33.65497,-90.053958"
"272",30415,"Brooklet","GA",32.3456,-81.62339,-5,1,"32.3456,-81.62339"
"273",31525,"Brunswick","GA",31.260995,-81.49832,-5,1,"31.260995,-81.49832"
"274",32798,"Zellwood","FL",28.716923,-81.5754,-5,1,"28.716923,-81.5754"
"275",43719,"Bethesda","OH",40.009383,-81.0763,-5,1,"40.009383,-81.0763"
"276",43748,"Junction City","OH",39.710863,-82.30228,-5,1,"39.710863,-82.30228"
"277",47649,"Francisco","IN",38.343295,-87.44275,-6,1,"38.343295,-87.44275"
"278",35576,"Millport","AL",33.581135,-88.10835,-6,1,"33.581135,-88.10835"
"279",36535,"Foley","AL",30.396876,-87.69616,-6,1,"30.396876,-87.69616"
"280",37367,"Pikeville","TN",35.635097,-85.17161,-6,1,"35.635097,-85.17161"
"281",27107,"Winston Salem","NC",36.046215,-80.18998,-5,1,"36.046215,-80.18998"
"282",24324,"Draper","VA",36.973028,-80.79309,-5,1,"36.973028,-80.79309"
"283",41132,"Denton","KY",38.251159,-82.83496,-5,1,"38.251159,-82.83496"
"284",43506,"Bryan","OH",41.471569,-84.55459,-5,1,"41.471569,-84.55459"
"285",28584,"Swansboro","NC",34.69771,-77.10614,-5,1,"34.69771,-77.10614"
"286",29325,"Clinton","SC",34.470115,-81.86761,-5,1,"34.470115,-81.86761"
"287",95965,"Oroville","CA",39.558586,-121.58923,-8,1,"39.558586,-121.58923"
"288",97844,"Irrigon","OR",45.886463,-119.51737,-8,1,"45.886463,-119.51737"
"289",83429,"Island Park","ID",44.490674,-111.36631,-7,1,"44.490674,-111.36631"
"290",78148,"Universal City","TX",29.550223,-98.29936,-6,1,"29.550223,-98.29936"
"291",78588,"San Isidro","TX",26.720155,-98.46845,-6,1,"26.720155,-98.46845"
"292",65777,"Moody","MO",36.524268,-91.98863,-6,1,"36.524268,-91.98863"
"293",67050,"Garden Plain","KS",37.663743,-97.68539,-6,1,"37.663743,-97.68539"
"294",67645,"Lenora","KS",39.609655,-99.91904,-6,1,"39.609655,-99.91904"
"295",56522,"Campbell","MN",46.130213,-96.40019,-6,1,"46.130213,-96.40019"
"296",58405,"Jamestown","ND",46.913344,-98.699553,-6,1,"46.913344,-98.699553"
"297",60025,"Glenview","IL",42.07672,-87.81922,-6,1,"42.07672,-87.81922"
"298",50278,"Zearing","IA",42.158866,-93.29673,-6,1,"42.158866,-93.29673"
"299",50569,"Otho","IA",42.417893,-94.1494,-6,1,"42.417893,-94.1494"
"300",52156,"Luana","IA",43.051922,-91.45842,-6,1,"43.051922,-91.45842"
"301",51530,"Earling","IA",41.77364,-95.42761,-6,1,"41.77364,-95.42761"
"302",51656,"Yorktown","IA",40.737446,-95.156217,-6,1,"40.737446,-95.156217"
"303",53009,"Byron","WI",43.76983,-88.494357,-6,1,"43.76983,-88.494357"
"304",55381,"Silver Lake","MN",44.904987,-94.18802,-6,1,"44.904987,-94.18802"
"305",30263,"Newnan","GA",33.38779,-84.82536,-5,1,"33.38779,-84.82536"
"306",30384,"Atlanta","GA",33.844371,-84.47405,-5,1,"33.844371,-84.47405"
"307",30728,"La Fayette","GA",34.696201,-85.25824,-5,1,"34.696201,-85.25824"
"308",31714,"Ashburn","GA",31.709742,-83.66519,-5,1,"31.709742,-83.66519"
"309",33315,"Fort Lauderdale","FL",26.094385,-80.15422,-5,1,"26.094385,-80.15422"
"310",33994,"Fort Myers","FL",26.552895,-81.94861,-5,1,"26.552895,-81.94861"
"311",34209,"Bradenton","FL",27.488866,-82.62737,-5,1,"27.488866,-82.62737"
